Année 2012 | Mois 03 | Matricule   3053 | Rang global    130 | Rang dans fichier   130 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   5003 | Rang global    131 | Rang dans fichier   131 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   3000 | Rang global    132 | Rang dans fichier   132 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0287 | Rang global    133 | Rang dans fichier   133 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   4578 | Rang global    134 | Rang dans fichier   134 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0332 | Rang global    135 | Rang dans fichier   135 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3912 | Rang global    136 | Rang dans fichier   136 | Analyseur C : N.ligne      9 | Xml : N.ligne      9 | Différence    0
Année 2012 | Mois 03 | Matricule   3068 | Rang global    137 | Rang dans fichier   137 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0271 | Rang global    138 | Rang dans fichier   138 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2012 | Mois 03 | Matricule   3072 | Rang global    139 | Rang dans fichier   139 | Analyseur C : N.ligne      2 | Xml : N.ligne      2 | Différence    0
Année 2012 | Mois 03 | Matricule   0140 | Rang global    140 | Rang dans fichier   140 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   4314 | Rang global    141 | Rang dans fichier   141 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   6069 | Rang global    142 | Rang dans fichier   142 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0487 | Rang global    143 | Rang dans fichier   143 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   6064 | Rang global    144 | Rang dans fichier   144 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   3050 | Rang global    145 | Rang dans fichier   145 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0248 | Rang global    146 | Rang dans fichier   146 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3043 | Rang global    147 | Rang dans fichier   147 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   3003 | Rang global    148 | Rang dans fichier   148 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3164 | Rang global    149 | Rang dans fichier   149 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0251 | Rang global    150 | Rang dans fichier   150 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   7000 | Rang global    151 | Rang dans fichier   151 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0144 | Rang global    152 | Rang dans fichier   152 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0147 | Rang global    153 | Rang dans fichier   153 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0149 | Rang global    154 | Rang dans fichier   154 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
