Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [209/842, time/total: 04:49/09:44]: cweb [13k]
Installing [210/842, time/total: 04:50/09:46]: cweb.win32 [42k]
Installing [211/842, time/total: 04:50/09:46]: de-macro [8k]
Installing [212/842, time/total: 04:50/09:46]: de-macro.win32 [1k]
Installing [213/842, time/total: 04:51/09:48]: dehyph-exptl [59k]
Installing [214/842, time/total: 04:52/09:49]: detex [1k]
Installing [215/842, time/total: 04:52/09:49]: detex.win32 [15k]
Installing [216/842, time/total: 04:53/09:51]: dhua [5k]
Installing [217/842, time/total: 04:53/09:51]: dickimaw [1k]
Installing [218/842, time/total: 04:53/09:51]: dosepsbin [5k]
Installing [219/842, time/total: 04:54/09:53]: dosepsbin.win32 [1k]
Installing [220/842, time/total: 04:54/09:53]: droit-fr [9k]
Installing [221/842, time/total: 04:54/09:53]: drv [17k]
Installing [222/842, time/total: 04:55/09:55]: dtl [1k]
Installing [223/842, time/total: 04:55/09:55]: dtl.win32 [16k]
Installing [224/842, time/total: 04:56/09:57]: dtxgen [6k]
Installing [225/842, time/total: 04:56/09:57]: dtxtut [1k]
Installing [226/842, time/total: 04:57/09:59]: dvi2tty [1k]
Installing [227/842, time/total: 04:57/09:59]: dvi2tty.win32 [82k]
Installing [228/842, time/total: 04:58/10:00]: dviasm [10k]
Installing [229/842, time/total: 04:58/10:00]: dviasm.win32 [1k]
Installing [230/842, time/total: 04:58/10:00]: dvicopy [1k]
Installing [231/842, time/total: 04:59/10:02]: dvicopy.win32 [24k]
Installing [232/842, time/total: 04:59/10:02]: dvidvi [9k]
Installing [233/842, time/total: 05:00/10:04]: dvidvi.win32 [11k]
Installing [234/842, time/total: 05:00/10:04]: dviincl [2k]
Installing [235/842, time/total: 05:00/10:04]: dviljk [1k]
Installing [236/842, time/total: 05:01/10:06]: dviljk.win32 [45k]
Installing [237/842, time/total: 05:01/10:06]: dviout.win32 [2183k]
Installing [238/842, time/total: 05:07/10:02]: dvipdfmx [27k]
Installing [239/842, time/total: 05:08/10:04]: dvipdfmx-def [4k]
Installing [240/842, time/total: 05:08/10:04]: dvipdfmx.win32 [285k]
Installing [241/842, time/total: 05:09/10:04]: dvipng [1k]
Installing [242/842, time/total: 05:10/10:06]: dvipng.win32 [382k]
Installing [243/842, time/total: 05:11/10:05]: dvipos [1k]
Installing [244/842, time/total: 05:11/10:05]: dvipos.win32 [17k]
Installing [245/842, time/total: 05:12/10:07]: dvips [149k]
Installing [246/842, time/total: 05:12/10:06]: dvips.win32 [88k]
Installing [247/842, time/total: 05:13/10:07]: dvipsconfig [12k]
Installing [248/842, time/total: 05:13/10:07]: dvisvgm [1k]
Installing [249/842, time/total: 05:14/10:09]: dvisvgm.win32 [526k]
Installing [250/842, time/total: 05:16/10:10]: ebproof [5k]
Installing [251/842, time/total: 05:17/10:11]: ec [258k]
Installing [252/842, time/total: 05:19/10:13]: einfuehrung [1k]
Installing [253/842, time/total: 05:19/10:13]: emp [4k]
