Année 2011 | Mois 01 | Matricule   0555 | Rang global    135 | Rang dans fichier   135 | Analyseur C : N.ligne      5 | Xml : N.ligne      5 | Différence    0
Année 2011 | Mois 01 | Matricule   1243 | Rang global    136 | Rang dans fichier   136 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   0331 | Rang global    137 | Rang dans fichier   137 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   1104 | Rang global    138 | Rang dans fichier   138 | Analyseur C : N.ligne      1 | Xml : N.ligne      1 | Différence    0
Année 2011 | Mois 01 | Matricule   0191 | Rang global    139 | Rang dans fichier   139 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0697 | Rang global    140 | Rang dans fichier   140 | Analyseur C : N.ligne     49 | Xml : N.ligne     49 | Différence    0
Année 2011 | Mois 01 | Matricule   0994 | Rang global    141 | Rang dans fichier   141 | Analyseur C : N.ligne     19 | Xml : N.ligne     19 | Différence    0
Année 2011 | Mois 01 | Matricule   0453 | Rang global    142 | Rang dans fichier   142 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0686 | Rang global    143 | Rang dans fichier   143 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2011 | Mois 01 | Matricule   0520 | Rang global    144 | Rang dans fichier   144 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   0610 | Rang global    145 | Rang dans fichier   145 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2011 | Mois 01 | Matricule   0771 | Rang global    146 | Rang dans fichier   146 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   0745 | Rang global    147 | Rang dans fichier   147 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1266 | Rang global    148 | Rang dans fichier   148 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2011 | Mois 01 | Matricule   1302 | Rang global    149 | Rang dans fichier   149 | Analyseur C : N.ligne     51 | Xml : N.ligne     51 | Différence    0
Année 2011 | Mois 01 | Matricule   0390 | Rang global    150 | Rang dans fichier   150 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2011 | Mois 01 | Matricule   0867 | Rang global    151 | Rang dans fichier   151 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   1293 | Rang global    152 | Rang dans fichier   152 | Analyseur C : N.ligne     47 | Xml : N.ligne     47 | Différence    0
Année 2011 | Mois 01 | Matricule   1152 | Rang global    153 | Rang dans fichier   153 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   1041 | Rang global    154 | Rang dans fichier   154 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0084 | Rang global    155 | Rang dans fichier   155 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   0647 | Rang global    156 | Rang dans fichier   156 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2011 | Mois 01 | Matricule   0685 | Rang global    157 | Rang dans fichier   157 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
